"id","name","salePriceU","subjectId","feedbacks","rating"
"6597128","Панамы","58600","255","0","0"
"82605986","Сумка","84000","50","0","0"
"83255606","Сумка","84000","50","0","0"
"4405074","Гели / 250 мл","19300","363","345","5"
"14409196","Дезодоранты женский / аэрозоль","20100","385","2863","5"
"3285599","Дезодоранты женский / шариковый","21000","385","2099","5"
"4049150","Дезодоранты мужской / шариковый","21900","385","241","5"
"2199158","Дезодоранты мужской / аэрозоль","22000","385","1259","5"
"10387071","Носки LIGHT LOW 1PP       BLACK/BLACK/WHITE","22700","212","45","4"
"3543514","Дезодоранты женский / шариковый","22900","385","927","5"
"7005175","Дезодоранты женский / шариковый","23500","385","5007","5"
"120572336","Дезодоранты","23700","385","0","0"
"115537729","Дезодоранты","23700","385","3","5"
"115537730","Дезодоранты","23700","385","1","5"
"88678970","Дезодорант антиперспирант Adipower роликовый, 50 мл","23700","385","0","0"
"19351613","Дезодоранты для тела / антиперспирант","25300","385","585","5"
"3285600","Дезодоранты женский / шариковый","26000","385","445","5"
"43064407","Подарочный набор для мужчин Pure Game: Гель для душа 250 мл","28300","341","133","4"
"2199153","Дезодоранты женский / аэрозоль","28400","385","2457","5"
"2199172","Дезодоранты женский / аэрозоль","28400","385","865","5"
"4049149","Дезодоранты мужской / шариковый","28400","385","600","5"
"8423867","Носки LIGHT ANK 1PP","28900","212","53","4"
"4049148","Дезодоранты мужской / шариковый","29900","385","876","5"
"3543521","Гели / 250 мл","29900","363","1088","5"
"46305197","Носки","29900","212","4","4"
"3285596","Гели / 250 мл","30000","363","217","5"
"3543513","Дезодоранты мужской / шариковый","30900","385","462","5"
"88688040","Гель для душа Adipure жен., 250 мл","31300","363","2","3"
"1992908","Гели / 250 мл","31600","363","1117","5"
"4405070","Гели / 250 мл","31600","363","506","5"
"4405066","Гели / 12 мл","31600","363","101","5"
"120183129","Дезодоранты","32300","385","0","0"
"113300596","Get Ready Дезодорант-антиперспирант спрей жен., 150 мл","32300","385","3","5"
"115055050","Дезодорант-антиперспирант спрей Cool&Care 6 In1 жен., 150 мл","32300","385","3","5"
"115055078","Дезодорант антиперспирант Climacool спрей, 150 мл","32300","385","0","0"
"88678961","Дезодорант антиперспирант Adipower спрей жен., 150 мл","32300","385","4","5"
"115055043","Дезодорант-антиперспирант спрей Action 3 Dry Max Control жен., 150 мл","32300","385","1","5"
"115055040","Дезодорант-антиперспирант спрей Action 3 Dry Max Fresh жен., 150 мл","32300","385","2","5"
"10514237","Шапочки для плавания силиконовая","32800","253","19","4"
"4049152","Дезодоранты мужской / шариковый","32900","385","92","5"
"2199173","Дезодоранты женский / аэрозоль","32900","385","458","5"
"14409195","Дезодоранты женский / аэрозоль","32900","385","473","5"
"1992895","Гели / 250 мл","33200","363","385","5"
"3285597","Гели / 250 мл","33300","363","466","5"
"14409197","Дезодоранты мужской / аэрозоль","33400","385","527","5"
"14409200","Дезодоранты мужской / аэрозоль","33400","385","946","5"
"97116077","Обмотка Adidas Overgrip Performance Pro","33600","2041","0","0"
"6557599","Дезодоранты мужской / шариковый","33900","385","2178","5"
"4049153","Дезодоранты мужской / шариковый","33900","385","1329","5"
"43217302","Гели / 250 мл","34700","363","16","5"
"14409198","Дезодоранты женский / аэрозоль","34800","385","254","4"
"4049151","Дезодоранты мужской / шариковый","34800","385","238","4"
"46305209","Носки","34900","212","24","5"
"2090324","Майка TRG BIB 14","35600","5217","0","0"
"2443608","Носки Per Crew T 3pp","35600","212","30","4"
"2549811","Носки, 3 пары","35600","212","48","4"
"2199177","Дезодоранты мужской / аэрозоль","35900","385","601","5"
"115055037","Гель для душа After Sport муж., 250 мл","36100","363","0","0"
"88738951","Гель для душа Champions League Champions муж., 250 мл","36100","363","1","5"
"115055044","Pure Game Гель для душа муж., 250 мл","36100","363","0","0"
"115055036","Ice Dive Гель для душа муж., 250 мл","36100","363","1","5"
"88938998","Гель для душа Sport Energy муж., 250 мл","36100","363","2","5"
"88678976","Гель для душа Adipower муж., 250 мл","36100","363","3","5"
"1992910","Гели / 250 мл","36600","363","519","5"
"3285589","Дезодоранты мужской / аэрозоль","36600","385","1170","5"
"6557600","Гели / 250 мл","36600","363","731","5"
"43217300","Дезодоранты мужской","36800","385","228","5"
"13105299","Носки  SPIDERMAN 3PP       LEGINK/VIVRED/LEGINK","36900","212","8","4"
"2597791","Носки Trefoil Liner, 3 пары","36900","212","43","5"
"8856139","Ремешок  PERSISTAR FITST","37100","2563","12","3"
"6557601","Гели / 250 мл","37400","363","149","5"
"10514235","Шапочки для плавания силиконовая","37500","253","9","4"
"4405068","Гели / 250 мл","37900","363","743","5"
"4405073","Гели / 250 мл","37900","363","244","5"
"4405072","Гели / 250 мл","37900","363","154","5"
"115055047","Дезодорант-антиперспирант спрей Action 3 Dry Max Sport Energy муж., 150 мл","38000","385","0","0"
"120183125","Дезодоранты","38000","385","0","0"
"115055046","Pure Game Дезодорант спрей муж., 150 мл","38000","385","1","5"
"115055035","Ice Dive Дезодорант спрей муж., 150 мл","38000","385","1","5"
"88678967","Дезодорант антиперспирант Adipower спрей муж., 150 мл","38000","385","3","5"
"115055210","Дезодорант-антиперспирант спрей Pro Invisibl муж., 150 мл","38000","385","0","0"
"88938903","Дезодорант-антиперспирант спрей Action 3 Dry Max Fresh муж., 150 мл","38000","385","0","0"
"2199154","Дезодоранты мужской / аэрозоль","38900","385","475","5"
"2199151","Дезодоранты мужской / аэрозоль","38900","385","287","5"
"2199149","Дезодоранты мужской / аэрозоль","38900","385","379","4"
"2199157","Дезодоранты мужской / аэрозоль","38900","385","297","4"
"7003556","Носки ASK AN LC","39600","212","8","5"
"7003564","Носки ASK NS LC","39600","212","3","5"
"7003559","Носки ASK NS UL","39600","212","1","5"
"7003554","Носки ASK AN UL","39600","212","5","3"
"115093981","Adidas Climacool 48ч антиперспирант спрей для мужчин 150 мл","39900","385","31","5"
"2198638","Носки, 3 пары","39900","212","11","4"
"43569227","Носки(черные)","41200","212","1","5"
"28938237","Носки1 пар","41200","212","0","0"
"2199162","Дезодоранты женский / аэрозоль","41900","385","185","4"
"8864328","Гетры","41900","252","38","5"
"3407434","Носки TREFOIL LINER","41900","212","10","4"
"10611932","Носки ASK LOW UL   BLACK/WHITE/BLACK","41900","212","17","4"
"10611930","Носки ASK ANKLE UL  BLACK/WHITE/BLACK","41900","212","12","5"
"43217303","Гели / 400 мл","42400","363","107","5"
"10196011","Носки ASK LOW  LC         WHITE/BLACK/WHITE","42900","212","6","3"
"14562069","Носки TORSION SOCK        WHITE/BLACK","44300","212","12","5"
"118218117","Носки Light Ank 1PP","44900","212","0","0"
"94521074","Дезодоранты Защита от пота и запаха / аэрозоль","43300","385","0","0"
"46305226","Носки","44900","212","0","0"
"83790343","Бейсболка","44900","84","9","4"
"8423866","Носки LIGHT ANK 1PP","45100","212","64","5"
"103273954","Пять Пар Носков ","45200","212","0","0"
"2583023","Набор игл для насоса Needle Repl Set","46000","1048","4","5"
"8865143","Шапочка для плавания GRAPHIC CAP","46500","253","6","4"
"268968","Шапочка для плавания","46500","253","45","4"
"1992881","Лосьоны / 50 мл","46900","359","312","4"
"10514236","Шапочки для плавания силиконовая","46900","253","9","5"
"10514234","Шапочки для плавания текстильная","46900","253","19","5"
"23122007","Носки 3S HC CREW 3PP      BLACK/WHITE","46900","212","32","5"
"115779888","Дезодоранты","47200","385","2","5"
"30295871","НоскиKIDS ANKLE 3P       BLACK/SESCGR/LEGINK","47600","212","13","4"
"2443607","Носки Per Crew T, 3 пары","47900","212","21","4"
"99465868","Носки для занятий спортом / логотип","48000","212","2","4"
"103971489","Носки логотип","48000","212","0","0"
"88940091","Гель для душа Champions League Champions муж., 400 мл","48400","363","1","5"
"118858330","Носки мужские/набор 5 пар/принт/хлопок","49000","212","0","0"
"5245282","Шапочки для плавания силиконовая","49800","253","27","4"
"13684181","Иглы для насоса Needle Repl Set     LGTGRE","49900","1048","3","5"
"3841337","Носки PER ANKLE T 1PP     WHITE/WHITE/BLACK","49900","212","8","3"
"13684130","Носки TREFOIL LINER       WHITE/BLACK/MGREYH","50900","212","31","3"
"93242776","Дезодоранты мужской / шариковый","51000","385","0","0"
"7237188","Гетры ADI SOCK 18","51700","212","12","4"
"7004213","Гетры ADI SOCK 18","51700","212","31","5"
"7004210","Гетры ADI SOCK 18","51700","212","14","4"
"7237193","Гетры ADI SOCK 18","51700","212","11","3"
"7237187","Гетры ADI SOCK 18","51700","212","19","4"
"13308066","Футболка  YG LIN CB T         ROYBLU","51700","192","26","5"
"99064994","Бинт боксёрские","52500","414","2","3"
"97340978","Бинт боксёрские","52500","414","2","3"
"97340977","Бинт боксёрские","52500","414","2","3"
"8423863","Носки LIGHT LOW 3PP","52700","212","125","4"
"14187752","Носки Low Cut 3PP   BLACK/WHITE","52700","212","46","4"
"7237190","Гетры SANTOS SOCK 18","52900","212","91","5"
"7410246","Гетры SANTOS SOCK 18","52900","212","46","3"
"7004227","Носки Гетры SANTOS SOCK 18","52900","212","72","4"
"43879714","Носки","52900","212","3","4"
"7410247","Гетры SANTOS SOCK 18","52900","212","31","4"
"10611929","Носки ASK ANKLE UL  WHITE/BLACK/WHITE","52900","212","15","4"
"7004228","Гетры SANTOS SOCK 18","52900","252","69","5"
"17396981","Топ Trg BIB 14          SIGCOR","52900","2230","3","2"
"7004229","Носки SANTOS SOCK 18","52900","212","36","5"
"7410248","Гетры SANTOS SOCK 18","52900","252","30","4"
"7237191","Гетры SANTOS SOCK 18","52900","212","108","3"
"7004226","Гетры SANTOS SOCK 18","52900","212","69","5"
"30295795","ГетрыTEAM SLEEVE 18      YELLOW/WHITE","52900","252","5","4"
"8864329","Носки TEAM SLEEVE 18","52900","212","30","5"
"17396978","Топ Trg BIB 14          SOPINK","52900","2230","0","0"
"8404348","Носки REF 16 SOCK","52900","212","27","5"
"7962782","Носки REF 16 SOCK","52900","212","6","4"
"8864330","Носки TEAM SLEEVE 18","52900","212","31","5"
"94519321","Дезодоранты Защита от пота и запаха / аэрозоль","53000","385","0","0"
"101910989","Лосьоны / 100 мл","53900","359","0","0"
"85357030","Футболка Essentials Linear","53900","192","0","0"
"8864326","Носки TEAM SLEEVE 18","54900","212","56","5"
